"","DIVISION","DISTRICT","num.x","meanAs.x","meanAs50ppb.x","std50ppb.x","se50ppb.x","lb50ppb.x","ub50ppb.x","meanAs10ppb.x","std10ppb.x","se10ppb.x","lb10ppb.x","ub10ppb.x","num.y","meanAs.y","meanAs50ppb.y","std50ppb.y","se50ppb.y","lb50ppb.y","ub50ppb.y","meanAs10ppb.y","std10ppb.y","se10ppb.y","lb10ppb.y","ub10ppb.y"
"62","Barisal","Jhalokati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,6.62857142857143,0,0,0,0,0,0.00571428571428571,0.0755928946018454,0.0112,-0.00548571428571429,0.0169142857142857
"63","Chittagong","Bandarban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,8.38709677419355,0,0,0,0,0,0,0,0,0,0
"64","Chittagong","Brahmanbaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,111.182795698925,0.387096774193548,0.488400767303914,0.0701901122293476,0.316906661964201,0.457286886422896,0.435483870967742,0.497158446936255,0.0714487149126644,0.364035156055078,0.506932585880406
"65","Chittagong","Khagrachhari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,21.5510204081633,0,0,0,0,0,0.775510204081633,0.418100021489142,0.0523544038888553,0.723155800192777,0.827864607970488
"66","Chittagong","Rangamati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,12.1521739130435,0,0,0,0,0,0.160869565217391,0.368211931610853,0.0475871845240061,0.113282380693385,0.208456749741397
"67","Dhaka","Kishorganj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,37.6842105263158,0.121052631578947,0.327050224074395,0.0465043653511897,0.0745482662277576,0.167556996930137,0.521052631578947,0.500876424861918,0.0712212942935573,0.44983133728539,0.592273925872505
"68","Dhaka","Netrakona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,72.6130653266332,0.321608040201005,0.468271512295973,0.0650619792858592,0.256546060915146,0.386670019486864,0.482412060301508,0.500950824271867,0.0696024662961129,0.412809594005395,0.55201452659762
"69","Rajshahi","Joypurhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,1.79487179487179,0,0,0,0,0,0.0358974358974359,0.186513286178831,0.0261787279339723,0.00971870796346358,0.0620761638314082
"70","Rangpur","Dinajpur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,0.160427807486631,0,0,0,0,0,0,0,0,0,0
"71","Rangpur","Gaibandha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,13.7012987012987,0.0173160173160173,0.130729324256614,0.0168586617732146,0.000457355542802757,0.0341746790892319,0.181818181818182,0.386532165058104,0.049846620658664,0.131971561159518,0.231664802476846
"72","Rangpur","Kurigram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,6.68803418803419,0.0170940170940171,0.129899663022356,0.0166439409802286,0.000450076113788462,0.0337379580742457,0.0854700854700855,0.280179267341574,0.0358991477038267,0.0495709377662588,0.121369233173912
"73","Rangpur","Lalmonirhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.663265306122449,0.00510204081632653,0.0714285714285714,0.01,-0.00489795918367347,0.0151020408163265,0.00510204081632653,0.0714285714285714,0.01,-0.00489795918367347,0.0151020408163265
"74","Rangpur","Nilphamari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,0.846774193548387,0.00403225806451613,0.0635000635000951,0.0079032258064516,-0.00387096774193547,0.0119354838709677,0.00806451612903226,0.089620679902362,0.0111542009748545,-0.00308968484582227,0.0192187171038868
"75","Rangpur","Panchagarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,5.95360824742268,0,0,0,0,0,0.0515463917525773,0.221681469686704,0.0311949718760843,0.0203514198764931,0.0827413636286616
"76","Rangpur","Rangpur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,11.1158798283262,0.0343347639484979,0.182479591305864,0.0234310855897224,0.0109036783587754,0.0577658495382203,0.0686695278969957,0.253435766479875,0.0325421330319257,0.03612739486507,0.101211660928921
"77","Rangpur","Thakurgaon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,6.02564102564103,0.00512820512820513,0.0716114874039434,0.0100512820512821,-0.00492307692307694,0.0151794871794872,0.0461538461538462,0.210358253382317,0.0295255721283104,0.0166282740255357,0.0756794182821566
